2017-11-24-10-30-54    UserID [0]    Transaction Complete 
2017-11-24-10-30-54    UserID [0]    Transaction Complete 
2017-11-24-10-30-54    UserID [0]    Transaction Complete 
2017-11-24-10-30-54    UserID [0]    Transaction Complete 
2017-11-24-10-30-55    UserID [0]    Transaction Complete 
2017-11-24-10-30-55    UserID [0]    Transaction Complete 
2017-11-24-10-30-55    UserID [0]    Transaction Complete 
2017-11-24-10-30-55    UserID [0]    Transaction Complete 
2017-11-24-10-30-56    UserID [0]    Transaction Complete 
2017-11-24-10-30-56    UserID [0]    Transaction Complete 
2017-11-24-10-30-56    UserID [0]    Transaction Complete 
2017-11-24-10-30-56    UserID [0]    Transaction Complete 
2017-11-24-10-30-56    UserID [0]    Transaction Complete 
2017-11-24-10-30-57    UserID [0]    Transaction Complete 
2017-11-24-10-30-57    UserID [0]    Transaction Complete 
2017-11-24-10-30-57    UserID [0]    Transaction Complete 
2017-11-24-10-30-57    UserID [0]    Transaction Complete 
2017-11-24-10-30-58    UserID [0]    Transaction Complete 
2017-11-24-10-30-58    UserID [0]    Transaction Complete 
2017-11-24-10-30-58    UserID [0]    Transaction Complete 
2017-11-24-10-30-58    UserID [0]    Transaction Complete 
2017-11-24-10-30-59    UserID [0]    Transaction Complete 
2017-11-24-10-30-59    UserID [0]    Transaction Complete 
2017-11-24-10-30-59    UserID [0]    Transaction Complete 
2017-11-24-10-30-59    UserID [0]    Transaction Complete 
2017-11-24-10-30-59    UserID [0]    Transaction Complete 
2017-11-24-10-31-0    UserID [0]    Transaction Complete 
2017-11-24-10-31-0    UserID [0]    Transaction Complete 
2017-11-24-10-31-0    UserID [0]    Transaction Complete 
2017-11-24-10-31-0    UserID [0]    Transaction Complete 
2017-11-24-10-31-1    UserID [0]    Transaction Complete 
2017-11-24-10-31-1    UserID [0]    Transaction Complete 
2017-11-24-10-31-1    UserID [0]    Transaction Complete 
2017-11-24-10-31-1    UserID [0]    Transaction Complete 
2017-11-24-10-31-2    UserID [0]    Transaction Complete 
2017-11-24-10-31-2    UserID [0]    Transaction Complete 
2017-11-24-10-31-2    UserID [0]    Transaction Complete 
2017-11-24-10-31-2    UserID [0]    Transaction Complete 
2017-11-24-10-31-3    UserID [0]    Transaction Complete 
2017-11-24-10-31-3    UserID [0]    Transaction Complete 
2017-11-24-10-31-3    UserID [0]    Transaction Complete 
2017-11-24-10-31-3    UserID [0]    Transaction Complete 
2017-11-24-10-31-4    UserID [0]    Transaction Complete 
2017-11-24-10-31-4    UserID [0]    Transaction Complete 
2017-11-24-10-31-4    UserID [0]    Transaction Complete 
2017-11-24-10-31-4    UserID [0]    Transaction Complete 
2017-11-24-10-31-4    UserID [0]    Transaction Complete 
2017-11-24-10-31-5    UserID [0]    Transaction Complete 
2017-11-24-10-31-5    UserID [0]    Transaction Complete 
2017-11-24-10-31-5    UserID [0]    Transaction Complete 
2017-11-24-10-31-6    UserID [0]    Transaction Complete 
2017-11-24-10-31-6    UserID [0]    Transaction Complete 
2017-11-24-10-31-6    UserID [0]    Transaction Complete 
2017-11-24-10-31-6    UserID [0]    Transaction Complete 
2017-11-24-10-31-7    UserID [0]    Transaction Complete 
2017-11-24-10-31-7    UserID [0]    Transaction Complete 
2017-11-24-10-31-7    UserID [0]    Transaction Complete 
2017-11-24-10-31-7    UserID [0]    Transaction Complete 
2017-11-24-10-31-8    UserID [0]    Transaction Complete 
2017-11-24-10-31-8    UserID [0]    Transaction Complete 
2017-11-24-10-31-8    UserID [0]    Transaction Complete 
2017-11-24-10-31-8    UserID [0]    Transaction Complete 
2017-11-24-10-31-8    UserID [0]    Transaction Complete 
2017-11-24-10-31-9    UserID [0]    Transaction Complete 
2017-11-24-10-31-9    UserID [0]    Transaction Complete 
2017-11-24-10-31-9    UserID [0]    Transaction Complete 
2017-11-24-10-31-9    UserID [0]    Transaction Complete 
2017-11-24-10-31-10    UserID [0]    Transaction Complete 
2017-11-24-10-31-10    UserID [0]    Transaction Complete 
2017-11-24-10-31-10    UserID [0]    Transaction Complete 
2017-11-24-10-31-10    UserID [0]    Transaction Complete 
2017-11-24-10-31-10    UserID [0]    Transaction Complete 
2017-11-24-10-31-11    UserID [0]    Transaction Complete 
2017-11-24-10-31-11    UserID [0]    Transaction Complete 
2017-11-24-10-31-11    UserID [0]    Transaction Complete 
2017-11-24-10-31-11    UserID [0]    Transaction Complete 
2017-11-24-10-31-12    UserID [0]    Transaction Complete 
2017-11-24-10-31-12    UserID [0]    Transaction Complete 
2017-11-24-10-31-12    UserID [0]    Transaction Complete 
2017-11-24-10-31-12    UserID [0]    Transaction Complete 
2017-11-24-10-31-13    UserID [0]    Transaction Complete 
2017-11-24-10-31-13    UserID [0]    Transaction Complete 
2017-11-24-10-31-13    UserID [0]    Transaction Complete 
2017-11-24-10-31-13    UserID [0]    Transaction Complete 
2017-11-24-10-31-13    UserID [0]    Transaction Complete 
2017-11-24-10-31-14    UserID [0]    Transaction Complete 
2017-11-24-10-31-14    UserID [0]    Transaction Complete 
2017-11-24-10-31-14    UserID [0]    Transaction Complete 
